date,location,lat,lon,rainfall_mm,humidity_pct,solar_radiation_wm2,temp_c,temp_max_c,temp_min_c,wind_speed_10m_mps,cloud_cover_pct
2023-07-21,pit_entrance,-0.456,117.11,19.03,96.96,11.59,25.67,27.53,24.03,0.72,98.8
2023-07-22,pit_entrance,-0.456,117.11,0.5,91.3,17.18,26.11,29.43,23.67,0.71,89.56
2023-07-23,pit_entrance,-0.456,117.11,0.06,89.86,15.37,26.1,29.43,23.59,0.81,89.8
2023-07-24,pit_entrance,-0.456,117.11,0.11,88.8,20.5,26.38,29.81,23.73,0.89,57.83
2023-07-25,pit_entrance,-0.456,117.11,0.03,88.48,19.42,26.36,29.82,23.57,0.78,70.83
2023-07-26,pit_entrance,-0.456,117.11,0.0,87.76,18.79,26.3,29.86,23.22,0.84,31.34
2023-07-27,pit_entrance,-0.456,117.11,0.01,87.59,20.74,26.07,29.58,23.46,0.96,40.68
2023-07-28,pit_entrance,-0.456,117.11,0.0,87.97,21.67,25.73,29.27,22.83,0.87,34.45
2023-07-29,pit_entrance,-0.456,117.11,0.0,88.27,22.76,25.66,29.5,22.46,0.87,25.43
2023-07-30,pit_entrance,-0.456,117.11,0.0,88.26,21.53,25.98,30.08,22.38,0.76,35.69
2023-07-31,pit_entrance,-0.456,117.11,0.0,88.67,20.47,26.22,30.09,22.73,0.68,43.59
2023-08-01,pit_entrance,-0.456,117.11,0.01,88.71,19.72,26.6,30.49,23.23,0.69,51.2
2023-08-02,pit_entrance,-0.456,117.11,0.18,89.04,21.42,26.95,30.3,23.72,0.82,30.47
2023-08-03,pit_entrance,-0.456,117.11,0.02,88.29,22.84,26.41,29.93,23.33,0.72,38.12
2023-08-04,pit_entrance,-0.456,117.11,0.09,90.58,18.75,25.89,28.91,23.37,0.69,51.77
2023-08-05,pit_entrance,-0.456,117.11,7.84,91.65,17.99,26.34,29.41,23.8,0.72,57.65
2023-08-06,pit_entrance,-0.456,117.11,7.31,93.36,21.35,26.33,29.4,24.04,0.62,35.76
2023-08-07,pit_entrance,-0.456,117.11,1.62,91.43,20.68,25.98,29.19,23.78,0.81,43.88
2023-08-08,pit_entrance,-0.456,117.11,0.54,88.52,21.29,26.06,29.81,22.71,0.77,38.72
2023-08-09,pit_entrance,-0.456,117.11,0.21,87.87,20.49,26.26,29.89,23.24,0.8,52.97
2023-08-10,pit_entrance,-0.456,117.11,0.08,88.19,19.41,26.35,29.87,23.54,0.74,73.43
2023-08-11,pit_entrance,-0.456,117.11,10.11,92.09,14.93,25.53,27.39,23.87,0.83,89.52
2023-08-12,pit_entrance,-0.456,117.11,3.67,91.74,18.16,25.74,29.22,23.38,0.82,87.58
2023-08-13,pit_entrance,-0.456,117.11,0.23,88.14,19.95,25.97,29.58,22.93,0.61,73.56
2023-08-14,pit_entrance,-0.456,117.11,0.7,88.7,20.08,26.37,30.08,23.59,0.74,72.37
2023-08-15,pit_entrance,-0.456,117.11,0.15,90.0,18.03,26.13,29.08,23.67,0.73,88.91
2023-08-16,pit_entrance,-0.456,117.11,0.09,89.85,19.99,25.94,28.95,23.74,0.78,82.84
2023-08-17,pit_entrance,-0.456,117.11,0.16,90.1,21.49,25.81,28.72,23.25,0.78,50.36
2023-08-18,pit_entrance,-0.456,117.11,0.38,91.0,19.59,25.57,28.27,23.73,0.77,77.11
2023-08-19,pit_entrance,-0.456,117.11,0.18,90.05,20.29,25.91,29.36,23.42,0.75,75.45
2023-08-20,pit_entrance,-0.456,117.11,0.1,87.67,21.29,26.45,30.42,22.82,0.76,75.99
2023-08-21,pit_entrance,-0.456,117.11,1.58,88.05,21.98,26.46,30.22,23.37,0.65,58.88
2023-08-22,pit_entrance,-0.456,117.11,1.64,88.49,17.13,26.54,30.24,23.59,0.64,80.51
2023-08-23,pit_entrance,-0.456,117.11,4.54,92.12,12.87,26.04,28.92,23.47,0.57,83.65
2023-08-24,pit_entrance,-0.456,117.11,9.51,92.59,17.05,26.18,29.14,23.63,0.64,73.88
2023-08-25,pit_entrance,-0.456,117.11,19.74,94.49,18.95,25.86,28.32,24.26,0.69,76.32
2023-08-26,pit_entrance,-0.456,117.11,0.63,90.11,15.23,26.0,29.39,23.39,0.86,73.11
2023-08-27,pit_entrance,-0.456,117.11,0.71,87.11,21.33,26.4,30.06,23.54,0.98,56.44
2023-08-28,pit_entrance,-0.456,117.11,0.1,87.38,18.63,26.35,30.27,22.91,0.81,73.75
2023-08-29,pit_entrance,-0.456,117.11,0.0,87.27,23.28,26.14,29.92,23.25,0.86,33.53
2023-08-30,pit_entrance,-0.456,117.11,0.0,87.39,22.96,26.11,30.44,22.09,0.84,28.03
2023-08-31,pit_entrance,-0.456,117.11,0.0,86.87,22.2,26.47,30.85,22.72,0.83,32.12
2023-09-01,pit_entrance,-0.456,117.11,0.0,87.22,21.04,26.55,30.49,23.76,0.97,40.36
2023-09-02,pit_entrance,-0.456,117.11,0.0,85.87,22.05,25.88,29.89,22.29,0.94,28.61
2023-09-03,pit_entrance,-0.456,117.11,0.0,85.47,19.07,25.91,30.17,22.52,0.98,69.1
